,Query 1,Query 2,Query 3.1,Query 3.2,Query 3.3,Query 3.4,Query 4.1,Query 4.2,Query 4.3,Query 4.4,Query 5.1,Query 5.2,Query 5.3
scan count,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,16.0,16.0,16.0
logical reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
physical reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
page server reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
page server read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob logical reads,3631.0,180244.0,1814085.0,3627685.0,5441774.0,7255370.0,1803919.0,3607345.0,5411264.0,7214698.0,5497618.0,5419203.0,5413047.0
lob physical reads,8.0,2.0,2020.0,4036.0,6059.0,8080.0,20.0,37.0,59.0,90.0,69.0,64.0,62.0
lob page server reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob read-ahead reads,10429.0,533613.0,5349561.0,10694645.0,16044206.0,21389290.0,5349561.0,10694645.0,16044206.0,21389290.0,16044206.0,16044206.0,16044206.0
lob page server read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
segment reads,4.0,200.0,2000.0,4000.0,6000.0,8000.0,2000.0,4000.0,6000.0,8000.0,6200.0,6018.0,6004.0
segment skipped,7996.0,7800.0,6000.0,4000.0,2000.0,0.0,6000.0,4000.0,2000.0,0.0,9800.0,9982.0,9996.0
cpu time,0.908,58.766,834.28,1914.7900000000002,2958.47,4239.311,692.265,1458.096,2111.45,2853.038,1977.0939999999998,1866.2160000000001,1920.124
elapsed time,0.52,7.954000000000001,127.637,340.206,556.2860000000001,802.529,90.303,190.262,274.38000000000005,371.416,257.466,242.64600000000002,249.763
total logical reads,3631.0,180244.0,1814085.0,3627685.0,5441774.0,7255370.0,1803919.0,3607345.0,5411264.0,7214698.0,5497618.0,5419203.0,5413047.0
total read-aheads,10429.0,533613.0,5349561.0,10694645.0,16044206.0,21389290.0,5349561.0,10694645.0,16044206.0,21389290.0,16044206.0,16044206.0,16044206.0
cpu parallelisation,1.7461538461538462,7.3882323359316056,6.536349177746264,5.62832519120768,5.3182535602190235,5.282439637695335,7.666024384571942,7.663621742649609,7.69534951527079,7.681516143623322,7.679048884124505,7.691105561187904,7.687784019250249
segment efficiency,0.0005,0.025,0.25,0.5,0.75,1.0,0.25,0.5,0.75,1.0,0.3875,0.376125,0.37525
