,Query 1,Query 2,Query 3.1,Query 3.2,Query 3.3,Query 3.4,Query 4.1,Query 4.2,Query 4.3,Query 4.4,Query 5.1,Query 5.2,Query 5.3
scan count,2.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,45.0,45.0,45.0
logical reads,3990.0,861606.0,8588587.0,17168847.0,25752427.0,22832263.0,8587243.0,17168547.0,25751899.0,22828618.0,23696530.0,22910200.0,22838260.0
physical reads,5.0,5.0,5.0,5.0,6.0,4.0,5.0,5.0,6.0,4.0,7.0,7.0,9.0
page server reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
read-ahead reads,3982.0,858947.0,8581455.0,17158809.0,25738465.0,22818243.0,8581409.0,17158790.0,25738460.0,22818249.0,23675537.0,22891089.0,22820604.0
page server read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob logical reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob physical reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob page server reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob page server read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
segment reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
segment skipped,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu time,0.51,84.07499999999999,743.079,1781.014,2807.123,3927.125,511.43399999999997,1041.55,1571.561,1567.357,2547.9770000000003,2349.2619999999997,2351.39
elapsed time,0.54,11.777,120.16,316.58500000000004,475.738,720.96,80.88,136.225,212.777,203.71099999999998,338.36899999999997,301.03700000000003,301.71299999999997
total logical reads,3990.0,861606.0,8588587.0,17168847.0,25752427.0,22832263.0,8587243.0,17168547.0,25751899.0,22828618.0,23696530.0,22910200.0,22838260.0
total read-aheads,3982.0,858947.0,8581455.0,17158809.0,25738465.0,22818243.0,8581409.0,17158790.0,25738460.0,22818249.0,23675537.0,22891089.0,22820604.0
cpu parallelisation,0.9444444444444444,7.138914833998471,6.184079560585885,5.625705576701359,5.900565016879039,5.447077507767421,6.323367952522255,7.645806570012846,7.3859533690201475,7.694022414106259,7.530172681303549,7.803897859731526,7.793465975944026
segment efficiency,,,,,,,,,,,,,
