,Query 1,Query 2,Query 3.1,Query 3.2,Query 3.3,Query 3.4,Query 4.1,Query 4.2,Query 4.3,Query 4.4,Query 5.1,Query 5.2,Query 5.3
scan count,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,40.0,40.0,40.0
logical reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
physical reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
page server reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
page server read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob logical reads,5021.0,247453.0,2472796.0,4943176.0,7413842.0,9884591.0,2462628.0,4922838.0,7383708.0,9843918.0,7504901.0,7396471.0,7388012.0
lob physical reads,3.0,1.0,2002.0,4001.0,6001.0,8003.0,2.0,1.0,1.0,1.0,0.0,1.0,6.0
lob page server reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob read-ahead reads,6907.0,834964.0,8342635.0,16681053.0,25022050.0,33360468.0,8342635.0,16681053.0,25022050.0,33360468.0,25022050.0,25022050.0,25022050.0
lob page server read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
segment reads,5.0,201.0,2001.0,4001.0,6001.0,8001.0,2001.0,4001.0,6001.0,8001.0,6203.0,6021.0,6007.0
segment skipped,7996.0,7800.0,6000.0,4000.0,2000.0,0.0,6000.0,4000.0,2000.0,0.0,9800.0,9982.0,9996.0
cpu time,34.58800000000001,69.124,559.047,1341.968,2096.915,2854.922,746.264,1469.297,2205.642,2931.453,602.1170000000001,580.6129999999999,581.312
elapsed time,34.198,10.197,89.574,252.35199999999998,390.651,545.131,96.69000000000001,190.66299999999998,285.745,379.126,83.11099999999999,80.738,80.25999999999999
total logical reads,5021.0,247453.0,2472796.0,4943176.0,7413842.0,9884591.0,2462628.0,4922838.0,7383708.0,9843918.0,7504901.0,7396471.0,7388012.0
total read-aheads,6907.0,834964.0,8342635.0,16681053.0,25022050.0,33360468.0,8342635.0,16681053.0,25022050.0,33360468.0,25022050.0,25022050.0,25022050.0
cpu parallelisation,1.0114041756827887,6.778856526429342,6.241174894500637,5.317841744864317,5.367745122884621,5.237130157705212,7.718109421863687,7.706251343994379,7.718917216399237,7.7321339079883735,7.244732947503942,7.191322549481037,7.2428607027161735
segment efficiency,0.0006249218847644045,0.025121859767529058,0.25009373828271464,0.5000624921884764,0.7500312460942382,1.0,0.25009373828271464,0.5000624921884764,0.7500312460942382,1.0,0.3876148222208336,0.37624195463350624,0.37536711866525024
