,Query 1,Query 2,Query 3.1,Query 3.2,Query 3.3,Query 3.4,Query 4.1,Query 4.2,Query 4.3,Query 4.4,Query 5.1,Query 5.2,Query 5.3
scan count,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,18.0,18.0,18.0
logical reads,58891298.0,58892065.0,58893119.0,58898501.0,58903466.0,58908341.0,58893025.0,58898073.0,58903504.0,58909345.0,117795516.0,117795012.0,117796072.0
physical reads,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
page server reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
read-ahead reads,58876241.0,58870531.0,58881494.0,58890669.0,58874781.0,58883209.0,58878706.0,58877533.0,58886898.0,58846505.0,117440573.0,117453551.0,117446890.0
page server read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob logical reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob physical reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob page server reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob page server read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
segment reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
segment skipped,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu time,1009.278,1060.22,3026.217,4650.796,6226.138,8080.0779999999995,2726.092,3618.982,4474.812,5444.577,5335.125,5356.843999999999,5465.325
elapsed time,199.363,206.59199999999998,423.399,713.318,1001.707,1349.67,364.701,488.341,579.3870000000001,703.881,762.598,760.38,778.756
total logical reads,58891298.0,58892065.0,58893119.0,58898501.0,58903466.0,58908341.0,58893025.0,58898073.0,58903504.0,58909345.0,117795516.0,117795012.0,117796072.0
total read-aheads,58876241.0,58870531.0,58881494.0,58890669.0,58874781.0,58883209.0,58878706.0,58877533.0,58886898.0,58846505.0,117440573.0,117453551.0,117446890.0
cpu parallelisation,5.062514107432172,5.131950898389096,7.147435397816245,6.519947625042408,6.21552809354432,5.986706380078092,7.474868453884141,7.410768295105265,7.723355891657906,7.735081640220436,6.995986089656674,7.044956469133853,7.018019764855745
segment efficiency,,,,,,,,,,,,,
