,Query 1,Query 2,Query 3.1,Query 3.2,Query 3.3,Query 3.4,Query 4.1,Query 4.2,Query 4.3,Query 4.4,Query 5.1,Query 5.2,Query 5.3
scan count,2.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,45.0,45.0,45.0
logical reads,3990.0,861738.0,8586439.0,17168607.0,25750651.0,26013373.0,8587867.0,17168505.0,25751227.0,26009881.0,26878327.0,26091611.0,26020105.0
physical reads,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,8.0,8.0,10.0
page server reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
read-ahead reads,3982.0,858954.0,8581397.0,17158816.0,25738449.0,25997008.0,8581423.0,17158794.0,25738410.0,25997039.0,26854323.0,26069859.0,25999379.0
page server read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob logical reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob physical reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob page server reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob page server read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
segment reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
segment skipped,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu time,0.7030000000000001,87.49799999999999,729.046,1738.6879999999999,2707.264,3933.668,512.295,1029.4370000000001,1550.84,1584.47,2538.512,2346.405,2349.188
elapsed time,0.732,12.289,102.6,293.142,491.96,695.33,73.879,134.387,207.313,205.899,344.77200000000005,302.91999999999996,302.026
total logical reads,3990.0,861738.0,8586439.0,17168607.0,25750651.0,26013373.0,8587867.0,17168505.0,25751227.0,26009881.0,26878327.0,26091611.0,26020105.0
total read-aheads,3982.0,858954.0,8581397.0,17158816.0,25738449.0,25997008.0,8581423.0,17158794.0,25738410.0,25997039.0,26854323.0,26069859.0,25999379.0
cpu parallelisation,0.9603825136612023,7.120026039547562,7.105711500974659,5.931214223823266,5.503016505406944,5.65726777213697,6.934243831129278,7.66024243416402,7.480669326091466,7.695374916828154,7.36287169491722,7.7459560279941915,7.778098574294928
segment efficiency,,,,,,,,,,,,,
