,Query 1,Query 2,Query 3.1,Query 3.2,Query 3.3,Query 3.4,Query 4.1,Query 4.2,Query 4.3,Query 4.4,Query 5.1,Query 5.2,Query 5.3
scan count,19.0,383.0,3688.0,43.0,10993.0,40.0,3671.0,27.0,10976.0,27.0,11359.0,11025.0,10995.0
logical reads,4043.0,808321.0,11187074.0,38975618.0,34713205.0,46445267.0,8073346.0,32209104.0,24214163.0,32214018.0,25103120.0,24364854.0,24298502.0
physical reads,7.0,221.0,3963.0,6.0,17954.0,6.0,3257.0,6.0,13519.0,6.0,2786.0,2905.0,4139.0
page server reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
read-ahead reads,3884.0,804293.0,8045973.0,32196280.0,24153527.0,32196284.0,8041240.0,32196296.0,24149250.0,32196234.0,25017025.0,24307695.0,24235300.0
page server read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob logical reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob physical reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob page server reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob page server read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
segment reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
segment skipped,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu time,2.345,127.63300000000001,1431.531,2404.5460000000003,4997.762,4246.296,927.966,1629.97,2772.6200000000003,2390.844,2028.142,2028.479,1829.799
elapsed time,13.447,18.671,211.92600000000002,397.05600000000004,798.9129999999999,721.932,129.00400000000002,217.761,365.70300000000003,309.981,282.456,281.66299999999995,254.625
total logical reads,4043.0,808321.0,11187074.0,38975618.0,34713205.0,46445267.0,8073346.0,32209104.0,24214163.0,32214018.0,25103120.0,24364854.0,24298502.0
total read-aheads,3884.0,804293.0,8045973.0,32196280.0,24153527.0,32196284.0,8041240.0,32196296.0,24149250.0,32196234.0,25017025.0,24307695.0,24235300.0
cpu parallelisation,0.1743883394065591,6.835895238605325,6.754862546360521,6.055936694068343,6.255702435684487,5.88185036817872,7.193311835291928,7.485132783188909,7.581616776455212,7.712872724457306,7.180382077208486,7.201794342884939,7.186250368188513
segment efficiency,,,,,,,,,,,,,
