,Query 1,Query 2,Query 3.1,Query 3.2,Query 3.3,Query 3.4,Query 4.1,Query 4.2,Query 4.3,Query 4.4,Query 5.1,Query 5.2,Query 5.3
scan count,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,16.0,16.0,16.0
logical reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
physical reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
page server reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
page server read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob logical reads,941.0,5797790.0,7213162.0,7213146.0,7213189.0,7213187.0,7213156.0,7213143.0,7213152.0,7213172.0,12578562.0,12098873.0,11853206.0
lob physical reads,1.0,146.0,77.0,68.0,87.0,84.0,70.0,69.0,72.0,82.0,2808.0,575.0,2044.0
lob page server reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob read-ahead reads,2797.0,14175459.0,21364300.0,21364300.0,21364300.0,21364300.0,21364300.0,21364300.0,21364300.0,21364300.0,32242408.0,29490181.0,28101143.0
lob page server read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
segment reads,1.0,7990.0,7990.0,7990.0,7990.0,7990.0,7990.0,7990.0,7990.0,7990.0,15980.0,15980.0,15980.0
segment skipped,7989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu time,1.1079999999999999,789.041,2103.9519999999998,3175.218,4200.858,5642.063999999999,1360.7630000000001,1995.1870000000001,2645.483,3849.375,3264.39,3805.64,4349.907999999999
elapsed time,0.402,130.351,292.605,475.309,618.072,874.3729999999999,180.506,260.099,341.81899999999996,499.451,427.837,492.517,561.0749999999999
total logical reads,941.0,5797790.0,7213162.0,7213146.0,7213189.0,7213187.0,7213156.0,7213143.0,7213152.0,7213172.0,12578562.0,12098873.0,11853206.0
total read-aheads,2797.0,14175459.0,21364300.0,21364300.0,21364300.0,21364300.0,21364300.0,21364300.0,21364300.0,21364300.0,32242408.0,29490181.0,28101143.0
cpu parallelisation,2.7562189054726365,6.053202507077046,7.190417115223593,6.680323747288606,6.7967130043101776,6.452696961136723,7.538602594927593,7.670875320551022,7.739426421585694,7.707212519346242,7.629985251392469,7.726921101200568,7.7528102303613595
segment efficiency,0.00012515644555694618,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
