,Query 1,Query 2,Query 3.1,Query 3.2,Query 3.3,Query 3.4,Query 4.1,Query 4.2,Query 4.3,Query 4.4,Query 5.1,Query 5.2,Query 5.3
scan count,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,18.0,18.0,18.0
logical reads,3028.0,1019974.0,10179039.0,20350253.0,30526232.0,40697275.0,10179333.0,20352347.0,30529034.0,40702567.0,31548156.0,30617633.0,30540222.0
physical reads,5.0,4.0,75.0,21.0,83.0,12.0,6.0,9.0,11.0,12.0,13.0,13.0,14.0
page server reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
read-ahead reads,2784.0,1016257.0,10172635.0,20338550.0,30511118.0,40675261.0,10170283.0,20337676.0,30507902.0,40675290.0,31517722.0,30507945.0,30507877.0
page server read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob logical reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob physical reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob page server reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob page server read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
segment reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
segment skipped,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu time,1.698,90.581,1212.172,2629.481,4032.451,5626.719,974.279,1952.826,2930.843,4001.341,3007.265,2800.952,4740.0
elapsed time,1.4849999999999999,12.312000000000001,182.49099999999999,461.63800000000003,690.771,981.6819999999999,129.548,250.512,382.55100000000004,518.7149999999999,390.65000000000003,361.64099999999996,610.445
total logical reads,3028.0,1019974.0,10179039.0,20350253.0,30526232.0,40697275.0,10179333.0,20352347.0,30529034.0,40702567.0,31548156.0,30617633.0,30540222.0
total read-aheads,2784.0,1016257.0,10172635.0,20338550.0,30511118.0,40675261.0,10170283.0,20337676.0,30507902.0,40675290.0,31517722.0,30507945.0,30507877.0
cpu parallelisation,1.1434343434343435,7.357131254061078,6.642365924894927,5.695980400227017,5.8376089905337665,5.7317125097536685,7.520602402198413,7.795339145430159,7.661313132105261,7.713948892937355,7.69810572123384,7.745117395428064,7.764827298118585
segment efficiency,,,,,,,,,,,,,
