,Query 1,Query 2,Query 3.1,Query 3.2,Query 3.3,Query 3.4,Query 4.1,Query 4.2,Query 4.3,Query 4.4,Query 5.1,Query 5.2,Query 5.3
scan count,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,40.0,40.0,40.0
logical reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
physical reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
page server reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
page server read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob logical reads,3024.0,9843393.0,9843010.0,9843182.0,9842992.0,9842994.0,9843368.0,9843591.0,9843571.0,9843368.0,17849136.0,17371763.0,9846928.0
lob physical reads,2.0,57.0,64.0,38.0,22.0,32.0,21.0,25.0,23.0,21.0,115.0,65.0,24.0
lob page server reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob read-ahead reads,5947.0,33369318.0,33369318.0,33369318.0,33369318.0,33369318.0,33369318.0,33371456.0,33370456.0,33369318.0,54635180.0,51481193.0,33377041.0
lob page server read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
segment reads,2.0,7991.0,7991.0,7991.0,7991.0,7991.0,7991.0,7991.0,7991.0,7991.0,15983.0,15983.0,7994.0
segment skipped,7989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7989.0
cpu time,0.875,751.032,1697.9679999999998,2516.3250000000003,3285.564,4099.438999999999,1441.6219999999998,2166.015,2934.143,3627.687,1899.703,2462.029,1227.752
elapsed time,0.5740000000000001,103.406,230.782,399.486,550.825,706.768,190.34,281.873,379.156,465.839,253.852,324.681,163.79999999999998
total logical reads,3024.0,9843393.0,9843010.0,9843182.0,9842992.0,9842994.0,9843368.0,9843591.0,9843571.0,9843368.0,17849136.0,17371763.0,9846928.0
total read-aheads,5947.0,33369318.0,33369318.0,33369318.0,33369318.0,33369318.0,33369318.0,33371456.0,33370456.0,33369318.0,54635180.0,51481193.0,33377041.0
cpu parallelisation,1.5243902439024388,7.262944123165,7.357454220866444,6.298906594974543,5.964805518994235,5.800261188961581,7.573930860565303,7.68436494449628,7.738616822627098,7.787426557244026,7.483506137434411,7.58291677061485,7.495433455433456
segment efficiency,0.0002502815667626079,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5001564161922042
