,Query 1,Query 2,Query 3.1,Query 3.2,Query 3.3,Query 3.4,Query 4.1,Query 4.2,Query 4.3,Query 4.4,Query 5.1,Query 5.2,Query 5.3
scan count,25.0,25.0,41.0,41.0,41.0,41.0,25.0,25.0,25.0,25.0,50.0,50.0,50.0
logical reads,37.0,37.0,3120512.0,6764493.0,10497171.0,14229834.0,37.0,37.0,37.0,37.0,74.0,74.0,74.0
physical reads,0.0,0.0,0.0,0.0,0.0,4218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
page server reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
read-ahead reads,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
page server read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob logical reads,3971.0,247362.0,2463406.0,4923446.0,9844768.0,9844768.0,2462084.0,4922603.0,9844010.0,9843830.0,10059178.0,9865022.0,9847055.0
lob physical reads,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
lob page server reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob read-ahead reads,9714.0,835035.0,8343156.0,16682158.0,33362678.0,33362678.0,8343156.0,16682158.0,33362678.0,33362678.0,33985782.0,33421203.0,33366684.0
lob page server read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
segment reads,3.0,201.0,2002.0,4002.0,8002.0,8002.0,2001.0,4001.0,8001.0,8001.0,8202.0,8020.0,8004.0
segment skipped,7998.0,7800.0,6000.0,4000.0,0.0,0.0,6000.0,4000.0,0.0,0.0,7800.0,7982.0,7998.0
cpu time,0.607,74.33,643.073,1589.608,2522.063,3379.595,804.139,1602.939,2447.4359999999997,3192.4159999999997,658.625,638.764,639.923
elapsed time,0.389,9.777999999999999,102.559,294.00800000000004,530.196,645.7189999999999,101.81200000000001,202.236,308.771,401.90500000000003,84.586,81.79,81.90400000000001
total logical reads,4008.0,247399.0,5583918.0,11687939.0,20341939.0,24074602.0,2462121.0,4922640.0,9844047.0,9843867.0,10059252.0,9865096.0,9847129.0
total read-aheads,9748.0,835069.0,8343190.0,16682192.0,33362712.0,33362712.0,8343190.0,16682192.0,33362712.0,33362712.0,33985816.0,33421237.0,33366718.0
cpu parallelisation,1.5604113110539846,7.601759050930662,6.270273696116382,5.406682811352071,4.756850296871345,5.233847850225873,7.898273288021057,7.9260814098380115,7.926379096482505,7.9432104601833755,7.786454023124394,7.809805599706565,7.813086051963273
segment efficiency,0.0003749531308586427,0.025121859767529058,0.2501874531367158,0.5001249687578105,1.0,1.0,0.25009373828271464,0.5000624921884764,1.0,1.0,0.5125609298837646,0.5011873515810523,0.5001874765654293
