,Query 1,Query 2,Query 3.1,Query 3.2,Query 3.3,Query 3.4,Query 4.1,Query 4.2,Query 4.3,Query 4.4,Query 5.1,Query 5.2,Query 5.3
scan count,25.0,25.0,35.0,41.0,41.0,41.0,25.0,25.0,25.0,25.0,50.0,50.0,50.0
logical reads,37.0,37.0,962535.0,6764505.0,10497168.0,14229834.0,37.0,37.0,37.0,37.0,74.0,74.0,74.0
physical reads,1.0,1.0,1.0,1.0,1.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
page server reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
read-ahead reads,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
page server read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob logical reads,3971.0,247645.0,2463402.0,4923636.0,9844958.0,9844574.0,2462274.0,4922888.0,9843826.0,9843830.0,10059620.0,9863995.0,9847771.0
lob physical reads,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
lob page server reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob read-ahead reads,9714.0,835035.0,8343156.0,16682158.0,33362678.0,33362678.0,8343156.0,16682158.0,33362678.0,33362678.0,33987056.0,33416817.0,33370754.0
lob page server read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
segment reads,3.0,201.0,2002.0,4002.0,8002.0,8002.0,2001.0,4001.0,8001.0,8001.0,8202.0,8020.0,8004.0
segment skipped,7998.0,7800.0,6000.0,4000.0,0.0,0.0,6000.0,4000.0,0.0,0.0,7800.0,7982.0,7998.0
cpu time,0.796,73.87400000000001,587.25,1564.919,2555.716,3468.079,819.515,1628.187,2507.5,3245.969,672.8130000000001,653.5490000000001,649.0120000000001
elapsed time,0.533,9.87,90.822,274.048,439.897,661.363,105.46600000000001,205.757,316.51,408.91700000000003,86.58800000000001,83.93,83.22699999999999
total logical reads,4008.0,247682.0,3425937.0,11688141.0,20342126.0,24074408.0,2462311.0,4922925.0,9843863.0,9843867.0,10059694.0,9864069.0,9847845.0
total read-aheads,9756.0,835077.0,8343198.0,16682200.0,33362720.0,33362720.0,8343198.0,16682200.0,33362720.0,33362720.0,33987098.0,33416859.0,33370796.0
cpu parallelisation,1.4934333958724202,7.48470111448835,6.465944374710973,5.710382852638954,5.809805477191252,5.243835835993244,7.770418902774353,7.9131548379885,7.922340526365676,7.9379654061826725,7.770279946412899,7.786834266650781,7.798094368414098
segment efficiency,0.0003749531308586427,0.025121859767529058,0.2501874531367158,0.5001249687578105,1.0,1.0,0.25009373828271464,0.5000624921884764,1.0,1.0,0.5125609298837646,0.5011873515810523,0.5001874765654293
