,Query 1,Query 2,Query 3.1,Query 3.2,Query 3.3,Query 3.4,Query 4.1,Query 4.2,Query 4.3,Query 4.4,Query 5.1,Query 5.2,Query 5.3
scan count,2.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,45.0,45.0,45.0
logical reads,11.0,861480.0,8588749.0,17167323.0,25750783.0,34332136.0,8588041.0,17168841.0,25751623.0,34331572.0,26615641.0,25825625.0,25756141.0
physical reads,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,6.0,6.0,4.0
page server reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
read-ahead reads,515.0,858707.0,8581445.0,17158726.0,25738429.0,34315768.0,8581523.0,17158778.0,25738465.0,34315720.0,26591786.0,25738451.0,25740790.0
page server read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob logical reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob physical reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob page server reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob page server read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
segment reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
segment skipped,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu time,1.422,90.70299999999999,758.716,1667.702,2706.824,3758.656,517.453,1034.484,1563.0819999999999,2073.688,1120.936,1090.672,1106.4060000000002
elapsed time,1.4279999999999997,12.365,123.419,284.056,518.826,668.848,86.878,136.93,205.77100000000002,269.589,148.292,143.64,147.748
total logical reads,11.0,861480.0,8588749.0,17167323.0,25750783.0,34332136.0,8588041.0,17168841.0,25751623.0,34331572.0,26615641.0,25825625.0,25756141.0
total read-aheads,515.0,858707.0,8581445.0,17158726.0,25738429.0,34315768.0,8581523.0,17158778.0,25738465.0,34315720.0,26591786.0,25738451.0,25740790.0
cpu parallelisation,0.9957983193277312,7.335463000404366,6.14748134403941,5.871032472470217,5.217209623264832,5.61959667966414,5.956087847326136,7.554838238516029,7.59622104183777,7.692034912403696,7.558978232136595,7.593093845725425,7.48846684895904
segment efficiency,,,,,,,,,,,,,
